hour of the day,male,female,sex unknown,under 17years old,17-25 years old,26-35 years old,36-45 years old,46-55 years old,56-65 years old,66-75 years old,75 and older,fine,rain,snow,fog,other weather type,bicycle,motorbike,car,bus,goods,other transport type,pedestrian,sunday,monday,tuesday,wednesday,thursday,friday,saturday,motorway,a road,b road,c road,unclassified road
1,86,20,0,3,56,17,11,7,10,2,0,77,18,0,1,4,5,4,85,2,2,0,26,34,5,6,10,10,8,27,5,47,23,10,41
2,59,20,0,1,42,20,7,4,4,1,0,58,6,0,1,5,0,7,60,0,2,0,16,17,6,6,6,5,10,20,6,39,11,10,29
3,52,10,0,4,29,18,7,3,1,0,0,45,4,0,3,1,0,5,44,1,4,0,12,13,5,4,4,2,5,20,7,37,3,7,14
4,56,8,0,1,26,19,6,7,4,1,0,52,8,0,3,4,1,4,45,0,10,1,14,27,5,4,5,4,6,16,6,46,14,5,18
5,38,9,0,2,27,9,3,4,2,0,0,32,4,0,0,2,0,3,29,0,6,0,8,10,2,2,2,3,6,13,5,19,7,3,14
6,35,6,0,4,10,9,5,10,3,0,0,30,6,1,2,1,0,5,25,0,5,2,7,9,6,6,0,3,8,8,8,28,2,4,8
7,59,14,0,2,13,20,15,10,9,3,1,55,7,1,3,2,5,11,43,1,7,0,7,5,6,14,14,7,13,9,5,39,12,12,27
8,75,19,0,3,23,14,16,16,9,8,5,84,6,0,2,3,9,19,52,4,8,1,19,10,16,23,16,8,12,10,9,61,11,15,33
9,51,32,0,12,18,15,14,6,3,7,9,64,10,1,0,6,5,25,40,1,9,1,16,5,18,16,11,12,12,7,5,44,15,19,36
10,53,26,0,3,10,16,10,9,10,4,17,65,11,0,1,1,8,12,40,3,12,1,19,11,6,10,21,10,11,9,3,51,12,9,32
11,61,31,0,3,9,4,19,9,9,8,31,78,8,0,1,3,5,23,49,4,5,1,27,14,9,9,13,20,12,13,4,48,14,9,49
12,66,35,0,4,16,11,13,16,8,9,24,87,8,2,0,2,10,19,48,4,14,4,26,13,14,10,10,14,21,17,0,65,15,10,48
13,76,36,0,8,20,17,14,13,10,14,16,89,16,0,0,4,5,26,53,5,12,4,25,18,8,13,18,21,14,17,8,62,17,12,52
14,70,41,0,6,17,10,19,10,9,16,24,90,7,1,2,6,2,34,54,4,6,5,25,20,11,7,20,10,21,17,7,66,19,11,42
15,87,43,0,2,22,19,24,13,16,8,26,117,8,0,0,1,8,41,59,2,11,1,18,25,13,20,18,15,11,24,10,84,22,12,43
16,114,41,0,15,19,16,20,17,12,22,34,123,17,0,0,7,5,42,89,1,7,2,37,23,17,10,25,23,27,22,4,83,29,19,76
17,98,39,0,14,21,15,20,18,7,13,28,114,20,0,0,1,9,33,79,3,6,4,35,17,12,18,27,17,31,13,6,72,27,15,66
18,121,52,0,12,23,21,39,19,13,18,28,143,28,0,1,2,9,52,84,5,7,7,44,27,20,23,21,20,39,24,8,105,38,20,74
19,103,17,0,11,30,15,21,11,8,9,15,93,19,0,1,1,9,25,68,2,3,3,33,16,16,22,16,11,22,11,5,66,16,19,44
20,103,29,0,15,37,21,18,14,8,8,11,105,17,0,1,6,4,28,80,6,6,3,39,18,18,13,14,23,20,23,12,69,23,15,51
21,99,26,0,11,40,25,17,9,11,6,6,97,18,0,1,1,3,27,77,2,7,2,32,15,15,15,12,16,21,23,8,79,16,6,41
22,83,26,0,12,38,18,9,11,11,5,5,78,10,1,1,5,5,16,68,1,5,1,31,9,20,9,7,17,17,16,8,48,16,7,47
23,100,24,0,4,49,20,17,18,4,6,6,99,20,0,0,2,4,19,86,0,4,1,21,20,17,12,18,15,19,20,5,72,22,13,49
24,80,17,0,4,48,17,13,10,1,1,3,72,13,0,0,4,2,7,72,1,3,2,20,8,9,13,9,10,19,21,4,47,16,13,35

source: Department of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
